"valence","tempo","duration_ms"
0.336,133.867,204027
0.666,106.831,218200
0.151,140.507,271560
0.325,139.956,245693
0.067,91.843,212853
0.15,180.95,172760
0.389,177.553,173467
0.162,54.98,305293
0.4,150.901,300733
0.2,90.45,209653
0.747,127.713,207667
0.605,155.931,148453
0.124,107.885,277360
0.0668,82.894,163640
0.129,71.923,214587
0.51,89.949,117520
0.273,98.781,209467
0.165,110.888,170107
0.105,103.927,283427
0.256,173.111,226987
0.795,122.231,249267
0.529,172.185,193880
0.596,116.06,243053
0.653,124.818,142653
0.14,86.749,178480
0.359,200.614,343133
0.651,102.18,264733
0.494,111.176,173933
0.533,126.698,157173
0.083,136.398,214707
0.722,145.967,188893
0.056,123.32,240840
0.721,119.913,171400
0.254,152.897,173213
0.629,95.685,82467
0.196,69.996,226307
0.177,77.068,209573
0.123,175.8,225000
0.337,145.979,247427
0.106,140.825,246360
0.45,97.756,200560
0.237,169.901,170602
0.241,134.062,197680
0.257,120.096,208103
0.345,130.03,163032
0.345,149.284,128484
0.473,81.517,124601
0.347,160.069,133444
0.422,107.893,168548
0.742,161.914,166918
0.148,140.073,179344
0.265,130.604,208280
0.168,120.093,256280
0.618,116.132,274533
0.349,142.412,207000
0.784,100.763,258613
0.937,102.828,233520
0.355,131.913,277253
0.19,67.99,244293
0.272,77.641,230400
0.181,114.792,205520
0.968,125.973,317320
0.155,113.984,328787
0.211,130.513,262507
0.238,132.846,242507
0.607,145.485,307467
0.49,140.603,222933
0.895,113.973,250187
0.319,185.766,186973
0.244,131.943,279947
0.625,90.726,274053
0.707,103.249,248613
0.453,96.852,327707
0.0923,141.018,296373
0.709,91.516,210640
0.907,111.162,196147
0.248,135.995,273107
0.314,135.852,249253
0.138,122.34,303253
0.287,120.244,259520
0.307,86.318,1183773
0.115,80.529,241853
0.596,64,146944
0.558,75.614,226859
0.482,67.716,192000
0.475,47.482,234197
0.491,173.104,165221
0.445,84.862,171008
0.437,92.117,198891
0.482,55.708,207573
0.42,45.774,200809
0.357,104.922,234560
0.471,182.756,200704
0.397,55.649,163541
0.602,68.282,83371
0.33,84.133,176981
0.357,76.622,195200
0.401,123.221,158037
0.53,129.969,111801
0.682,124.054,146520
0.726,111.818,164627
0.707,204.071,181093
0.446,93.922,240347
0.701,136.454,151840
0.845,127.313,175973
0.422,112.072,213840
0.654,193.645,135453
0.327,113.067,232667
0.585,105.969,229987
0.449,91.886,167533
0.905,127.058,195013
0.401,170.29,191760
0.951,134.08,72640
0.554,52.417,48133
0.444,110.815,209827
0.293,145.764,227440
0.603,69.485,113800
0.265,119.623,378133
0.174,86.253,171293
0,0,14867
0.162,88.295,75907
0.398,91.35,63533
0.601,130.096,189267
0.268,161.753,253093
0.36,138.818,123307
0.406,101.988,230227
0.371,98.45,91040
0.31,133.16,172627
0.54,132,135240
0.193,114.744,118133
0.479,76.107,138667
0.545,100.757,139333
0.182,117.211,126893
0.305,106.478,67907
0.35,107.225,305893
0.407,93.175,76400
0.555,96.687,121240
0.326,127.215,137227
0.164,122.064,84240
0.697,125.891,192600
0.268,163.665,269893
0.0408,132.771,1979747
0.563,122.076,748827
0.405,108.854,1157640
0.192,109.708,363360
0.534,104.814,809733
0.838,155.989,149891
0.0339,79.584,173640
0.178,129.267,111200
0.263,148.381,277720
0.196,111.956,235747
0.134,104.72,143560
0.197,76.028,250467
0.515,60.204,68973
0.114,126.828,266507
0.32,138.663,210133
0.177,102.812,172480
0.0453,50.553,243520
0.64,91.983,139573
0.476,115.822,39960
0.874,140.058,219429
0.304,83.33,186187
0.414,130.804,141453
0.235,117.836,187733
0.46,115.52,260827
0.0943,137.209,442227
0.499,140.452,172733
0.747,111.891,225320
0.747,111.891,225320
0.434,109.757,207840
0.412,101.619,168147
0.194,113.063,224600
0.582,129.684,243320
0.621,123.643,167787
0.62,105.996,188213
0.532,121.828,222640
0.226,135.839,448587
0.678,116.232,233800
0.327,100.432,183787
0.174,73.382,213853
0.128,65.349,203360
0.741,97.893,255987
0.373,100.429,282093
0.735,94.369,241093
0.226,74.992,324533
0.372,103.496,203120
0.205,153.106,291307
0.33,130.367,242400
0.822,129.64,162187
0.0988,76.073,240560
0.816,94.018,266893
0.851,98.218,213000
0.968,121.403,265093
0.369,174.975,202293
0.361,78.965,236893
0.309,97.09,339560
0.591,126.678,301613
0.523,83.917,340480
0.887,128.529,125790
0.105,71.384,347546
0.0998,85.994,257667
0.141,75.918,236746
0.303,75.484,235107
0.266,176.778,211427
0.409,144.544,191760
0.286,82.556,157800
0.116,173.154,223253
0.166,138.637,255746
0.159,137.945,214160
0.405,136.033,164960
0.171,129.831,163360
0.132,84.146,265960
0.176,86.947,320213
0.237,74.101,210320
0.192,77.171,262147
0.311,105.335,330867
0.654,117.403,184267
0.536,127.52,253840
0.129,128.028,183387
0.691,81.23,94970
0.621,93.036,233808
0.795,110.951,209280
0.83,85.696,196622
0.319,186.407,115551
0.885,94.073,192041
0.527,73.85,192633
0.828,80.949,223431
0.779,87.769,234534
0.852,95.055,201811
0.825,90.972,238550
0.343,84.986,259702
0.908,167.588,169060
0.864,89.599,175934
0.881,119.713,198685
0.701,85.517,32492
0.677,82.082,216107
0.949,83.899,247537
0.572,130.039,249333
0.572,114.004,212693
0.786,142.876,160267
0.546,180.026,208853
0.451,120.037,237253
0.641,115.988,225840
0.103,71.405,305640
0.864,124.972,172533
0.962,119.988,166893
0.398,149.989,190680
0.692,200.196,169320
0.579,74.843,196533
0.609,80.004,403413
0.25,123.987,485707
0.834,159.892,481613
0.531,154.026,430240
0.36,134.037,439080
0.0891,126.999,438440
0.674,122.004,450667
0.381,129.06,261147
0.227,99.959,257880
0.391,115.013,238957
0.515,124.984,205440
0.561,112.01,229286
0.0379,115.03,251478
0.0391,133.782,722667
0.0507,101.431,613200
0.0373,135.565,607733
0.0352,125.355,979667
0.0316,80.01,1180333
0.0377,74.987,623160
0.0468,79.963,439200
0.0797,139.879,703080
0.0356,75.406,287280
0.0355,117.365,471240
0.312,100.368,180360
0.0394,80.034,123120
0.158,71.069,260280
0.709,114.805,121320
0.103,89.18,394200
0.489,169.935,108360
0.393,120.003,297227
0.595,131.09,161747
0.54,119.967,233280
0.351,132.086,203000
0.259,138.044,222267
0.381,113.076,273480
0.786,129.146,150320
0.917,140.894,191693
0.712,154.191,156240
0.193,126.953,239253
0.747,131.987,191880
0.532,114.837,89533
0.588,86.048,30720
0.159,96.015,37053
0.302,144.712,17853
0.412,81.257,45800
0.64,76.092,71507
0.568,135.674,20120
0.882,131.703,48573
0,0,12853
0.466,59.78,24947
0.317,66.713,55773
0.22,128.76,33160
0,0,14480
0.636,78.406,32400
0.568,98.646,16040
0.478,61.168,22867
0,0,12493
0.331,86.002,21760
0.972,81.229,47573
0,0,9640
0,78.716,17040
0,0,11680
0.612,78.52,39080
0.909,116.921,25080
0,0,15840
0.928,74.763,30547
0.956,91.547,52933
0,0,10640
0.881,161.309,31533
0.239,51.825,29267
0,0,9720
0.963,167.766,29373
0.43,144.36,20533
0.24,77.635,32347
0,0,9640
0.634,88.45,30253
0,0,15947
0.4,119.995,42173
0,0,10347
0.937,121.576,50027
0.653,76.46,28320
0.606,127.471,40133
0.419,122.762,37987
0,0,15293
0.82,136.833,21347
0,0,9173
0,0,14893
0.696,84.328,50213
0.146,107.572,24480
0.925,103.075,26653
0.537,171.089,277480
0.946,171.948,196187
0.0872,149.839,62347
0.663,204.421,174072
0.504,94.027,184832
0.61,171.861,195317
0.48,94.072,215851
0.914,115.038,177877
0.404,140.049,216469
0.739,98.03,196203
0.741,117.176,157152
0.707,108.97,237547
0.169,129.871,578413
0.197,100.914,827973
0.105,110.328,566107
0.517,55.468,75760
0.575,96.826,71000
0.508,162.177,65173
0.556,72.917,84920
0.293,176.431,92680
0.281,134.053,567040
0.123,94.197,185040
0.0359,78.197,187320
0.261,117.819,124493
0.425,130.695,122267
0.112,96.158,261000
0.101,49.874,129507
0.637,74.954,70800
0.0396,196.068,167893
0.264,71.99,105667
0.568,53.895,98467
0.432,99.961,215480
0.28,67.422,424440
0.256,109.468,572533
0.491,86.913,162840
0.116,138.085,186840
0.721,149.929,168893
0.0573,64.213,344693
0.103,80.564,572667
0.517,99.975,236513
0.153,169.888,123803
0.324,140.022,135191
0.738,178.042,131637
0.487,168.089,189766
0.347,153.814,170203
0.353,163.505,202404
0.218,75.98,157166
0.315,155.935,229591
0.502,80.338,162110
0.622,144.995,161753
0.21,174.086,259043
0.434,198.201,147955
0.547,78.262,421830
0.453,79.156,329739
0.481,87.598,325079
0.358,132.369,335110
0.469,91.43,425937
0.294,71.831,148171
0.463,80.752,400126
0.589,115.809,267703
0.592,82.236,506748
0.596,110.752,572672
0.446,104.448,490684
0.578,138.07,311844
0.575,109.49,488919
0.567,63.914,377556
0.489,98.167,211766
0.476,95.63,389886
0.475,121.769,326449
0.429,101.063,221100
0.484,90.841,240977
0.752,111.863,271309
0.677,130.248,216364
0.373,119.981,264952
0.546,151.828,168769
0.542,83.983,210115
0.735,142.083,191055
0.261,99.972,156438
0.0682,100.01,251667
0.0367,144.67,988423
0.395,100.001,233920
0.28,127.102,274293
0.706,123.764,207360
0.337,143.951,384907
0.0615,96.064,179573
0.326,119.963,174773
0.137,76.776,275827
0.113,143.077,455493
0.248,76.905,289133
0.0382,75.151,225387
0.246,94.971,198947
0.195,82.014,122927
0.821,88.015,166364
0.763,85.018,152471
0.606,88.045,109176
0.451,83.972,102857
0.359,85.967,139535
0.405,84.975,101647
0.154,87.018,88276
0.356,81.962,165366
0.544,77.987,123077
0.527,78.961,97215
0.409,75.992,138947
0.391,74.044,181622
0.355,86.034,89302
0.282,156.139,101538
0.303,84.099,115000
0.858,105.41,264240
0.927,94.318,259667
0.767,129.626,249067
0.121,104.26,251693
0.834,91.397,240373
0.838,100.521,209360
0.736,121.759,244307
0.929,159.355,243027
0.584,101.545,259933
0.805,127.82,291440
0.748,113.306,220360
0.894,115.599,279533
0.707,102.86,204271
0.609,137.826,146297
0.721,179.004,239499
0.641,128.079,170358
0.529,127.049,239115
0.525,128.024,259851
0.425,127.146,216359
0.78,174.972,245557
0.754,134.039,245371
0.267,139.166,211523
0.339,152.818,250853
0.667,84.962,327333
0.597,78.07,301227
0.22,139.896,363893
0.839,138.497,809693
0.27,72.048,155013
0.697,106.127,660973
0.619,98.015,266733
0.76,171.517,1122613
0.429,113.02,205720
0.414,117.097,203769
0.529,110.127,187958
0.368,87.46,202915
0.537,97.018,215720
0.521,108.935,178583
0.419,151.548,227947
0.307,109.021,216080
0.468,90.973,171947
0.608,116.073,209320
0.327,105.941,194107
0.399,85.728,230480
0.12,81.172,38049
0.337,82.014,128781
0.435,79.012,106329
0.541,84.953,117882
0.51,81.123,150361
0.29,91.996,128804
0.473,85.971,119302
0.678,108.921,123303
0.209,77.953,118462
0.307,72.839,92055
0.144,142.852,41500
0.581,85.74,145116
0.175,80.017,144000
0.708,166.172,104096
0.724,84.967,158118
0.146,78.775,98462
0.189,89.962,115333
0.251,173.958,110345
0.528,77.991,113846
0.285,88.014,141818
0.335,101.611,115360
0.716,96.332,118853
0.881,87.54,131867
0.673,84.974,67520
0.577,201.451,150520
0.652,95.97,234040
0.187,95.033,81880
0.41,94.072,171840
0.504,89.862,95507
0.73,88.251,52827
0.874,92.585,182800
0.406,96.576,156187
0.721,183.17,90133
0.769,92.009,145707
0.529,95.565,81920
0.561,89.811,111667
0.693,90.292,115827
0.604,187.424,117773
0.688,174.888,52720
0.666,85.61,130480
0.688,86.163,136920
0.404,142.388,239827
0.645,92.103,2328067
0.22,128.019,405000
0.406,180.08,204067
0.652,186.201,176064
0.427,203.934,260837
0.539,73.935,198229
0.621,113.011,153067
0.776,107.95,203639
0.607,102.972,220973
0.683,165.153,195698
0.71,78.86,176000
0.731,163.891,221030
0.429,113.02,205720
0.414,117.097,203769
0.529,110.127,187958
0.368,87.46,202915
0.482,97.011,216440
0.521,108.935,178583
0.419,151.548,227947
0.307,109.021,216080
0.468,90.973,171947
0.608,116.073,209320
0.327,105.941,194107
0.399,85.728,230480
0.894,105.001,220240
0.382,75.761,208689
0.343,90.354,271935
0.425,103.983,238827
0.38,135.77,228976
0.512,112.039,271107
0.166,190.161,233827
0.266,140.349,250267
0.207,175.996,233627
0.318,90.037,276867
0.157,141.27,152853
0.437,197.847,258253
0.173,86.987,297053
0.635,151.019,229293
0.205,86.992,292867
0.201,96.052,308507
0.513,96.995,286883
0.864,169.153,190657
0.959,115.983,214022
0.658,130.039,170352
0.434,133.094,255698
0.971,124.137,175334
0.295,129.04,227265
0.478,132.043,210480
0.159,68.022,241883
0.912,146.843,171764
0.596,162.809,91995
0.0854,68.333,391440
0.809,153.768,108900
0.603,131.081,259388
0.389,59.467,237631
0.22,129.145,246640
0.494,63.407,155665
0.161,124.332,229783
0.826,111.09,118118
0.761,113.869,192236
0.147,85.657,204380
0.738,107.925,213529
0.521,91.807,127653
0.477,143.991,250000
0.435,141.977,240600
0.345,95.955,187400
0.252,139.986,242333
0.685,137.976,202687
0.613,130.021,281289
0.525,167.994,264155
0.784,80.007,242863
0.163,128.008,403070
0.642,91.65,279667
0.95,92.184,234147
0.73,87.204,200653
0.615,91.115,258587
0.553,96.28,299627
0.748,159.803,73613
0.816,107.024,63680
0.934,87.991,49440
0.706,92.676,199360
0.767,92.348,171600
0.698,165.862,281720
0.756,105.726,240267
0.825,95.051,172893
0.844,92.993,168013
0.711,110.296,241520
0.429,113.02,205720
0.414,117.097,203769
0.529,110.127,187958
0.368,87.46,202915
0.51,97.028,217947
0.491,108.854,178583
0.419,151.548,227947
0.307,109.021,216080
0.468,90.973,171947
0.608,116.073,209320
0.327,105.941,194107
0.399,85.728,230480
0.894,105.001,220240
0.382,75.761,208689
0.343,90.354,271935
0.425,103.983,238827
0.38,135.77,228976
0.848,105.674,188693
0.64,139.569,210493
0.962,170.374,199627
0.91,167.156,244440
0.546,97.346,143360
0.374,177.691,160133
0.533,93.11,165933
0.636,110.119,164200
0.463,125.981,205960
0.88,120.594,221773
0.813,122.724,235667
