"loudness","mode","speechiness"
-5.235,1,0.0682
-3.891,1,0.0537
-5.574,1,0.0895
-5.126,1,0.0407
-4.348,1,0.05
-3.545,1,0.0529
-4.209,0,0.0466
-4.742,1,0.0343
-13.366,1,0.0352
-13.637,1,0.035
-14.88,1,0.0362
-18.426,1,0.0382
-12.858,1,0.032
-15.03,1,0.0347
-15.041,1,0.0367
-12.429,0,0.0389
-13.919,1,0.037
-7.261,0,0.0371
-7.078,0,0.0514
-7.172,0,0.0882
-6.197,1,0.0366
-7.147,1,0.0442
-6.6,1,0.0339
-3.703,0,0.332
-4.341,0,0.204
-3.679,0,0.482
-3.954,0,0.379
-4.853,0,0.445
-4.171,1,0.294
-5.77,1,0.299
-4.316,1,0.422
-6.222,1,0.588
-4.666,1,0.33
-4.651,1,0.295
-5.133,0,0.197
-5.373,0,0.522
-3.333,0,0.334
-4.203,1,0.478
-4.111,1,0.225
-3.496,1,0.325
-4.276,0,0.3
-4.607,0,0.381
-3.916,1,0.373
-22.672,1,0.0505
-23.057,1,0.036
-20.843,0,0.0413
-23.175,0,0.0579
-25.108,1,0.0529
-24.924,0,0.0486
-26.086,1,0.0537
-25.254,0,0.0623
-23.305,1,0.0493
-24.229,1,0.0412
-22.851,1,0.0468
-21.721,1,0.0366
-26.089,1,0.0406
-14.716,0,0.0453
-22.001,1,0.047
-33.529,1,0.043
-22.703,1,0.0422
-22.425,1,0.049
-21.824,1,0.0394
-11.394,1,0.0672
-23.118,0,0.0496
-21.201,1,0.0807
-4.889,1,0.114
-4.724,1,0.107
-4.252,0,0.0873
-3.597,1,0.0492
-4.039,1,0.0998
-7.792,1,0.108
-7.713,1,0.0733
-10.545,0,0.0446
-6.321,1,0.125
-8.384,0,0.0932
-6.015,1,0.0316
-8.569,1,0.116
-6.646,1,0.195
-8.485,0,0.0387
-8.503,0,0.0427
-9.628,0,0.0392
-14.422,0,0.0347
-7.611,1,0.0327
-9.418,0,0.0407
-9.562,0,0.0802
-10.36,0,0.0458
-9.566,1,0.036
-8.662,0,0.0409
-9.548,0,0.0399
-9.466,1,0.0366
-7.615,0,0.0394
-9.23,1,0.0376
-8.945,0,0.0443
-6.334,1,0.0783
-5.726,1,0.0621
-5.405,0,0.0583
-6.542,1,0.0585
-7.739,0,0.0316
-6.717,0,0.0585
-7.98,1,0.061
-7.756,0,0.072
-7.209,0,0.0657
-7.797,1,0.0505
-9.297,0,0.116
-13.201,1,0.0333
-22.591,1,0.0888
-19.87,1,0
-13.925,0,0.157
-12.449,1,0.0824
-14.604,1,0.153
-32.954,1,0.566
-13.835,1,0.112
